INFO:root:Start initializing
INFO:root:Finish building module: reward agent, user ppo, system ppo
INFO:root:Training user policy with true reward and the initial system
INFO:root:Episode 50, Avg length: 20.0,  Avg reward: 0.880662739276886
INFO:root:Episode 100, Avg length: 20.0,  Avg reward: 0.8692294359207153
INFO:root:Episode 150, Avg length: 20.0,  Avg reward: 0.868642270565033
INFO:root:Episode 200, Avg length: 20.0,  Avg reward: 0.8581697344779968
INFO:root:Episode 250, Avg length: 20.0,  Avg reward: 0.8564378619194031
INFO:root:Episode 300, Avg length: 20.0,  Avg reward: 0.8875484466552734
INFO:root:Episode 350, Avg length: 20.0,  Avg reward: 0.8845412731170654
INFO:root:Episode 400, Avg length: 20.0,  Avg reward: 0.895948052406311
INFO:root:Episode 450, Avg length: 20.0,  Avg reward: 0.8895053267478943
INFO:root:Episode 500, Avg length: 20.0,  Avg reward: 0.8676822185516357
INFO:root:Episode 550, Avg length: 20.0,  Avg reward: 0.8958783745765686
INFO:root:Episode 600, Avg length: 20.0,  Avg reward: 0.886117696762085
INFO:root:Episode 650, Avg length: 20.0,  Avg reward: 0.9041553735733032
INFO:root:Episode 700, Avg length: 20.0,  Avg reward: 0.8847334384918213
INFO:root:Episode 750, Avg length: 20.0,  Avg reward: 0.871245265007019
INFO:root:Episode 800, Avg length: 20.0,  Avg reward: 0.8991599082946777
INFO:root:Episode 850, Avg length: 20.0,  Avg reward: 0.9179434180259705
INFO:root:Episode 900, Avg length: 20.0,  Avg reward: 0.9190688133239746
INFO:root:Episode 950, Avg length: 20.0,  Avg reward: 0.9165148735046387
INFO:root:Episode 1000, Avg length: 20.0,  Avg reward: 0.9226989150047302
INFO:root:Episode 1050, Avg length: 20.0,  Avg reward: 0.9010385274887085
INFO:root:Episode 1100, Avg length: 20.0,  Avg reward: 0.9121673703193665
INFO:root:Episode 1150, Avg length: 20.0,  Avg reward: 0.8904784321784973
INFO:root:Episode 1200, Avg length: 20.0,  Avg reward: 0.9286420941352844
INFO:root:Episode 1250, Avg length: 20.0,  Avg reward: 0.9235610365867615
INFO:root:Episode 1300, Avg length: 20.0,  Avg reward: 0.9234573841094971
INFO:root:Episode 1350, Avg length: 20.0,  Avg reward: 0.9170846343040466
INFO:root:Episode 1400, Avg length: 20.0,  Avg reward: 0.948276162147522
INFO:root:Episode 1450, Avg length: 20.0,  Avg reward: 0.9327566623687744
INFO:root:Episode 1500, Avg length: 20.0,  Avg reward: 0.9320706129074097
INFO:root:Episode 1550, Avg length: 20.0,  Avg reward: 0.9518581628799438
INFO:root:Episode 1600, Avg length: 20.0,  Avg reward: 0.9358215928077698
INFO:root:Episode 1650, Avg length: 20.0,  Avg reward: 0.9241107106208801
INFO:root:Episode 1700, Avg length: 20.0,  Avg reward: 0.9388087391853333
INFO:root:Episode 1750, Avg length: 20.0,  Avg reward: 0.9269394874572754
INFO:root:Episode 1800, Avg length: 20.0,  Avg reward: 0.9340884685516357
INFO:root:Episode 1850, Avg length: 20.0,  Avg reward: 0.9635663628578186
INFO:root:Episode 1900, Avg length: 20.0,  Avg reward: 0.9392964243888855
INFO:root:Episode 1950, Avg length: 20.0,  Avg reward: 0.944844126701355
